Empty Tweets,23
Sadness Tweets,213
Worry Tweets,425
Love Tweets,31
Fun Tweets,19
Hate Tweets,50
Enthusiasm Tweets,19
Surprise Tweets,42
Neutral Tweets,184
happiness Tweets,36
